route_variant,seq,from_station,to_station,stop_type,distance_miles,avg_elevation_m,run_min,wait_min
BALHAM - DORKING (3),5,EPSOM,ASHTEAD,stop,25.77,79.0,5,1
BALHAM - DORKING (3),6,ASHTEAD,LEATHERHEAD,stop,22.01,76.0,3,0
BALHAM - DORKING (3),7,LEATHERHEAD,DORKING,stop,4.26,39.9,6,0
BALHAM - DORKING (4),1,BALHAM,SUTTON (SURREY),stop,6.86,17.0,15,1
BALHAM - DORKING (4),2,SUTTON (SURREY),CHEAM,stop,1.26,17.2,3,8
BALHAM - DORKING (4),3,CHEAM,EWELL EAST,stop,1.54,17.2,3,0
BALHAM - DORKING (4),4,EWELL EAST,EPSOM,stop,1.65,42.6,4,0
BALHAM - DORKING (4),5,EPSOM,ASHTEAD,stop,25.77,79.0,5,1
BALHAM - DORKING (4),6,ASHTEAD,LEATHERHEAD,stop,22.01,76.0,3,0
BALHAM - DORKING (4),7,LEATHERHEAD,BOX HILL & WESTHUMBLE,stop,3.31,39.9,5,0
BALHAM - DORKING (4),8,BOX HILL & WESTHUMBLE,DORKING,stop,0.97,17.8,2,0
BALHAM - DORKING (5),1,BALHAM,STREATHAM COMMON,stop,2.11,16.9,5,4
BALHAM - DORKING (5),2,STREATHAM COMMON,SUTTON (SURREY),stop,5.37,17.0,17,0
BALHAM - DORKING (5),3,SUTTON (SURREY),CHEAM,stop,1.26,17.2,3,1
BALHAM - DORKING (5),4,CHEAM,EWELL EAST,stop,1.54,17.2,3,0
BALHAM - DORKING (5),5,EWELL EAST,EPSOM,stop,1.65,42.6,4,0
BALHAM - DORKING (5),6,EPSOM,ASHTEAD,stop,25.77,79.0,5,1
BALHAM - DORKING (5),7,ASHTEAD,LEATHERHEAD,stop,22.01,76.0,3,0
BALHAM - DORKING (5),8,LEATHERHEAD,BOX HILL & WESTHUMBLE,stop,3.31,39.9,5,0
BALHAM - DORKING (5),9,BOX HILL & WESTHUMBLE,DORKING,stop,0.97,17.8,2,0
BALHAM - EPSOM,1,BALHAM,MITCHAM EASTFIELDS,stop,2.82,16.9,7,0
BALHAM - EPSOM,2,MITCHAM EASTFIELDS,MITCHAM JUNCTION,stop,1.19,17.0,3,0
BALHAM - EPSOM,3,MITCHAM JUNCTION,HACKBRIDGE,stop,7.56,48.5,3,0
BALHAM - EPSOM,4,HACKBRIDGE,CARSHALTON,stop,6.49,48.6,3,0
BALHAM - EPSOM,5,CARSHALTON,SUTTON (SURREY),stop,1.31,17.2,4,0
BALHAM - EPSOM,6,SUTTON (SURREY),CHEAM,stop,1.26,17.2,3,0
BALHAM - EPSOM,7,CHEAM,EWELL EAST,stop,1.54,17.2,3,0
BALHAM - EPSOM,8,EWELL EAST,EPSOM,stop,1.65,42.6,4,0
BALHAM - EPSOM (2),1,BALHAM,SUTTON (SURREY),stop,6.86,17.0,17,0
BALHAM - EPSOM (2),2,SUTTON (SURREY),CHEAM,stop,1.26,17.2,3,6
BALHAM - EPSOM (2),3,CHEAM,EWELL EAST,stop,1.54,17.2,3,0
BALHAM - EPSOM (2),4,EWELL EAST,EPSOM,stop,1.65,42.6,4,0
BALHAM - HORSHAM,1,BALHAM,MITCHAM EASTFIELDS,stop,2.82,16.9,7,0
BALHAM - HORSHAM,2,MITCHAM EASTFIELDS,MITCHAM JUNCTION,stop,1.19,17.0,3,0
BALHAM - HORSHAM,3,MITCHAM JUNCTION,HACKBRIDGE,stop,7.56,48.5,3,0
BALHAM - HORSHAM,4,HACKBRIDGE,CARSHALTON,stop,6.49,48.6,3,0
BALHAM - HORSHAM,5,CARSHALTON,SUTTON (SURREY),stop,1.31,17.2,4,0
BALHAM - HORSHAM,6,SUTTON (SURREY),CHEAM,stop,1.26,17.2,3,0
BALHAM - HORSHAM,7,CHEAM,EWELL EAST,stop,1.54,17.2,3,0
BALHAM - HORSHAM,8,EWELL EAST,EPSOM,stop,1.65,42.6,4,0
BALHAM - HORSHAM,9,EPSOM,ASHTEAD,stop,25.77,79.0,5,1
BALHAM - HORSHAM,10,ASHTEAD,LEATHERHEAD,stop,22.01,76.0,3,0
BALHAM - HORSHAM,11,LEATHERHEAD,BOX HILL & WESTHUMBLE,stop,3.31,39.9,5,0
BALHAM - HORSHAM,12,BOX HILL & WESTHUMBLE,DORKING,stop,0.97,17.8,3,0
BALHAM - HORSHAM,13,DORKING,HOLMWOOD,stop,4.86,18.0,7,0
BALHAM - HORSHAM,14,HOLMWOOD,OCKLEY,stop,2.44,18.1,4,0
BALHAM - HORSHAM,15,OCKLEY,WARNHAM,stop,4.59,18.4,6,0
BALHAM - HORSHAM,16,WARNHAM,HORSHAM,stop,10.52,54.2,7,0
BALHAM - HORSHAM (2),1,BALHAM,STREATHAM COMMON,stop,2.11,16.9,4,1
BALHAM - HORSHAM (2),2,STREATHAM COMMON,SUTTON (SURREY),stop,5.37,17.0,14,1
BALHAM - HORSHAM (2),3,SUTTON (SURREY),CHEAM,stop,1.26,17.2,3,6
BALHAM - HORSHAM (2),4,CHEAM,EWELL EAST,stop,1.54,17.2,3,0
BALHAM - HORSHAM (2),5,EWELL EAST,EPSOM,stop,1.65,42.6,4,0
BALHAM - HORSHAM (2),6,EPSOM,ASHTEAD,stop,25.77,79.0,5,1
BALHAM - HORSHAM (2),7,ASHTEAD,LEATHERHEAD,stop,22.01,76.0,3,0
BALHAM - HORSHAM (2),8,LEATHERHEAD,BOX HILL & WESTHUMBLE,stop,3.31,39.9,5,0
BALHAM - HORSHAM (2),9,BOX HILL & WESTHUMBLE,DORKING,stop,0.97,17.8,4,0
BALHAM - HORSHAM (2),10,DORKING,HOLMWOOD,stop,4.86,18.0,7,2
BALHAM - HORSHAM (2),11,HOLMWOOD,OCKLEY,stop,2.44,18.1,4,0
BALHAM - HORSHAM (2),12,OCKLEY,WARNHAM,stop,4.59,18.4,6,0
BALHAM - HORSHAM (2),13,WARNHAM,HORSHAM,stop,10.52,54.2,5,0
