route_variant,date,departure_time,train_class,number_of_coaches
FARNHAM - GUILDFORD,2026-03-10,07:40:00,450,4
FARNHAM - GUILDFORD,2026-03-10,08:10:00,450,4
FARNHAM - GUILDFORD,2026-03-10,08:40:00,450,4
FARNHAM - GUILDFORD,2026-03-10,09:10:00,450,4
FARNHAM - GUILDFORD,2026-03-10,09:40:00,450,4
FARNHAM - GUILDFORD,2026-03-10,10:10:00,450,4
FARNHAM - GUILDFORD,2026-03-10,10:40:00,450,4
FARNHAM - GUILDFORD,2026-03-10,11:10:00,450,4
FARNHAM - GUILDFORD,2026-03-10,11:40:00,450,4
FARNHAM - GUILDFORD,2026-03-10,12:10:00,450,4
FARNHAM - GUILDFORD,2026-03-10,12:40:00,450,4
FARNHAM - GUILDFORD,2026-03-10,13:10:00,450,4
FARNHAM - GUILDFORD,2026-03-10,13:40:00,450,4
FARNHAM - GUILDFORD,2026-03-10,14:10:00,450,4
FARNHAM - GUILDFORD,2026-03-10,14:40:00,450,4
FARNHAM - GUILDFORD,2026-03-10,15:10:00,450,4
FARNHAM - GUILDFORD,2026-03-10,15:40:00,450,4
FARNHAM - GUILDFORD,2026-03-10,16:10:00,450,4
FARNHAM - GUILDFORD,2026-03-10,16:40:00,450,4
FARNHAM - GUILDFORD,2026-03-10,17:10:00,450,4
FARNHAM - GUILDFORD,2026-03-10,17:40:00,450,4
FARNHAM - GUILDFORD,2026-03-10,18:11:00,450,4
FARNHAM - GUILDFORD,2026-03-10,18:41:00,450,4
FARNHAM - GUILDFORD,2026-03-10,19:11:00,450,4
FARNHAM - GUILDFORD,2026-03-10,19:42:00,450,4
FARNHAM - GUILDFORD,2026-03-10,20:10:00,450,4
FARNHAM - GUILDFORD,2026-03-10,20:40:00,450,4
FARNHAM - GUILDFORD,2026-03-10,21:10:00,450,4
FARNHAM - GUILDFORD,2026-03-10,21:40:00,450,4
FARNHAM - GUILDFORD,2026-03-10,22:10:00,450,4
FARNHAM - GUILDFORD,2026-03-10,22:40:00,450,4
FARNHAM - GUILDFORD,2026-03-10,23:10:00,450,4
FARNHAM - GUILDFORD,2026-03-11,06:08:00,450,4
FARNHAM - GUILDFORD,2026-03-11,06:38:00,450,4
FARNHAM - GUILDFORD,2026-03-11,07:09:00,450,4
FARNHAM - GUILDFORD,2026-03-11,07:40:00,450,4
FARNHAM - GUILDFORD,2026-03-11,08:10:00,450,4
FARNHAM - GUILDFORD,2026-03-11,08:40:00,450,4
FARNHAM - GUILDFORD,2026-03-11,09:10:00,450,4
FARNHAM - GUILDFORD,2026-03-11,09:40:00,450,4
FARNHAM - GUILDFORD,2026-03-11,10:10:00,450,4
